Id,betweenesscentrality,closnesscentrality,Degree,outdegree,indegree,Eccentricity,harmonicclosnesscentrality
bootstrap,0,0.248768,4,2,2,7,0.297525
c++,0.029389,0.216274,8,4,4,8,0.279208
c,0.029389,0.216274,8,4,4,8,0.279208
python,0.110183,0.248157,14,7,7,7,0.321193
embedded,0,0.178131,2,1,1,9,0.210514
xamarin,0,0.193487,2,1,1,9,0.240963
unity3d,0,0.193487,2,1,1,9,0.240963
visual-studio,0,0.193487,2,1,1,9,0.240963
qt,0,0.178131,2,1,1,9,0.210514
laravel,0.015526,0.243373,8,4,4,7,0.293847
wordpress,0.015674,0.253133,12,6,6,7,0.321452
photoshop,0,0.225951,2,1,1,8,0.266443
html,0.001151,0.279006,12,6,6,7,0.344319
less,0,0.229025,6,3,3,8,0.281294
jenkins,0.059819,0.229025,8,4,4,8,0.279503
django,0.057791,0.255051,6,3,3,7,0.297289
flask,0,0.223947,4,2,2,7,0.259406
postgresql,0.087618,0.269333,12,6,6,7,0.334512
go,0,0.18264,2,1,1,8,0.203748
drupal,0,0.202405,2,1,1,8,0.234382
maven,0.039634,0.217672,10,5,5,8,0.274764
eclipse,0,0.179078,2,1,1,9,0.207324
redis,0.019748,0.25187,8,4,4,7,0.300919
elasticsearch,0,0.227991,4,2,2,7,0.265842
vba,0,1,4,2,2,1,1
excel,0,1,4,2,2,1,1
excel-vba,0,1,4,2,2,1,1
redux,0.000052,0.203219,8,4,4,9,0.253092
github,0,0.193487,2,1,1,9,0.219782
haskell,0,0.6,2,1,1,2,0.666667
jsp,0,0.209979,8,4,4,8,0.259936
hibernate,0.053044,0.243961,18,9,9,7,0.315276
spring-boot,0,0.197266,6,3,3,8,0.237376
web-services,0,0.221978,6,3,3,7,0.261245
spring-mvc,0.00746,0.216274,14,7,7,8,0.283204
java-ee,0,0.209979,8,4,4,8,0.259936
spring,0.053044,0.243961,18,9,9,7,0.315276
twitter-bootstrap-3,0,0.248157,4,2,2,7,0.295875
swift,0,0.169179,8,4,4,10,0.214828
osx,0.066356,0.230068,8,4,4,8,0.286292
objective-c,0.017932,0.194231,10,5,5,9,0.247446
iphone,0,0.169179,8,4,4,10,0.214828
xcode,0,0.169179,8,4,4,10,0.214828
xml,0,0.217672,2,1,1,8,0.244
vue.js,0,0.196117,2,1,1,8,0.221488
unix,0,0.217204,2,1,1,8,0.250743
ubuntu,0,0.217204,2,1,1,8,0.250743
windows,0.015526,0.221978,6,3,3,8,0.269389
machine-learning,0,0.2,4,2,2,8,0.239203
r,0.015526,0.200397,6,3,3,8,0.244154
matlab,0,0.167219,2,1,1,9,0.191572
react-native,0,0.202811,6,3,3,9,0.248142
oracle,0,0.18264,4,2,2,9,0.221586
plsql,0,0.18264,4,2,2,9,0.221586
regex,0,1,2,1,1,1,1
perl,0,1,2,1,1,1,1
ruby-on-rails,0,0.21308,4,2,2,8,0.247383
ruby,0,0.21308,4,2,2,8,0.247383
powershell,0,0.181982,2,1,1,9,0.207218
testing,0,1,2,1,1,1,1
selenium,0,1,2,1,1,1,1
