id,BetweennessCentrality,ClosenessCentrality,Degree,Outdegree,Indegree,AverageShortestPathLength,ClusteringCoefficient,Eccentricity,EdgeCount,IsSingleNode,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,PartnerOfMultiEdgedNodePairs,Radiality,selected,SelfLoops,Stress,TopologicalCoefficient
go,0,0.182640145,2,1,1,5.475247525,0,8,2,FALSE,4,0,2,1,0.72029703,FALSE,0,0,0
drupal,0,0.20240481,2,1,1,4.940594059,0,8,2,FALSE,6,0,2,1,0.753712871,FALSE,0,0,0
maven,3.107897681,0.217672414,10,5,5,4.594059406,0.3,8,10,FALSE,6,0,10,5,0.775371287,FALSE,0,119688,0.466666667
eclipse,0,0.179078014,2,1,1,5.584158416,0,9,2,FALSE,5,0,2,1,0.713490099,FALSE,0,0,0
redis,1.317854052,0.251870324,8,4,4,3.97029703,0.333333333,7,8,FALSE,4.75,0,8,4,0.814356436,FALSE,0,48836,0.346153846
elasticsearch,0,0.227990971,4,2,2,4.386138614,1,7,4,FALSE,6,0,4,2,0.788366337,FALSE,0,0,0.666666667
vba,0,1,4,2,2,1,1,1,4,FALSE,2,0,4,2,1,FALSE,0,0,1
excel,0,1,4,2,2,1,1,1,4,FALSE,2,0,4,2,1,FALSE,0,0,1
excel-vba,0,1,4,2,2,1,1,1,4,FALSE,2,0,4,2,1,FALSE,0,0,1
redux,0.001254125,0.203219316,8,4,4,4.920792079,0.833333333,9,8,FALSE,5.75,0,8,4,0.754950495,FALSE,0,38,0.71875
github,0,0.19348659,2,1,1,5.168316832,0,9,2,FALSE,4,0,2,1,0.739480198,FALSE,0,0,0
haskell,0,0.6,2,1,1,1.666666667,0,2,2,FALSE,3,0,2,1,0.777777778,FALSE,0,0,0
jsp,0,0.20997921,8,4,4,4.762376238,1,8,8,FALSE,8.25,0,8,4,0.764851485,FALSE,0,0,0.6875
hibernate,3.754782562,0.243961353,18,9,9,4.099009901,0.444444444,7,18,FALSE,5.333333333,0,18,9,0.806311881,FALSE,0,153622,0.333333333
spring-boot,0,0.197265625,6,3,3,5.069306931,1,8,6,FALSE,8.333333333,0,6,3,0.745668317,FALSE,0,0,0.925925926
web-services,0,0.221978022,6,3,3,4.504950495,1,7,6,FALSE,7.666666667,0,6,3,0.780940594,FALSE,0,0,0.696969697
spring-mvc,0.577953052,0.21627409,14,7,7,4.623762376,0.619047619,8,14,FALSE,6,0,14,7,0.773514851,FALSE,0,29437,0.428571429
java-ee,0,0.20997921,8,4,4,4.762376238,1,8,8,FALSE,8.25,0,8,4,0.764851485,FALSE,0,0,0.6875
spring,3.754782562,0.243961353,18,9,9,4.099009901,0.444444444,7,18,FALSE,5.333333333,0,18,9,0.806311881,FALSE,0,153622,0.333333333
twitter-bootstrap-3,0,0.248157248,4,2,2,4.02970297,1,7,4,FALSE,13,0,4,2,0.810643564,FALSE,0,0,0.764705882
swift,0,0.169179229,8,4,4,5.910891089,1,10,8,FALSE,4.75,0,8,4,0.693069307,FALSE,0,0,0.791666667
osx,4.44837938,0.230068337,8,4,4,4.346534653,0.333333333,8,8,FALSE,6,0,8,4,0.790841584,FALSE,0,137212,0.352941176
objective-c,1.241980198,0.194230769,10,5,5,5.148514851,0.7,9,10,FALSE,4.4,0,10,5,0.740717822,FALSE,0,47302,0.55
iphone,0,0.169179229,8,4,4,5.910891089,1,10,8,FALSE,4.75,0,8,4,0.693069307,FALSE,0,0,0.791666667
xcode,0,0.169179229,8,4,4,5.910891089,1,10,8,FALSE,4.75,0,8,4,0.693069307,FALSE,0,0,0.791666667
xml,0,0.217672414,2,1,1,4.594059406,0,8,2,FALSE,4,0,2,1,0.775371287,FALSE,0,0,0
vue.js,0,0.196116505,2,1,1,5.099009901,0,8,2,FALSE,4,0,2,1,0.743811881,FALSE,0,0,0
unix,0,0.217204301,2,1,1,4.603960396,0,8,2,FALSE,10,0,2,1,0.774752475,FALSE,0,0,0
ubuntu,0,0.217204301,2,1,1,4.603960396,0,8,2,FALSE,10,0,2,1,0.774752475,FALSE,0,0,0
windows,1.40039604,0.221978022,6,3,3,4.504950495,0.333333333,8,6,FALSE,5,0,6,3,0.780940594,FALSE,0,32064,0.388888889
machine-learning,0,0.2,4,2,2,5,1,8,4,FALSE,5,0,4,2,0.75,FALSE,0,0,0.625
r,0.655742574,0.200396825,6,3,3,4.99009901,0.333333333,8,6,FALSE,3.333333333,0,6,3,0.750618812,FALSE,0,16563,0.428571429
matlab,0,0.167218543,2,1,1,5.98019802,0,9,2,FALSE,3,0,2,1,0.688737624,FALSE,0,0,0
react-native,0,0.202811245,6,3,3,4.930693069,1,9,6,FALSE,6.333333333,0,6,3,0.754331683,FALSE,0,0,0.791666667
oracle,0,0.182640145,4,2,2,5.475247525,1,9,4,FALSE,3.5,0,4,2,0.72029703,FALSE,0,0,0.7
plsql,0,0.182640145,4,2,2,5.475247525,1,9,4,FALSE,3.5,0,4,2,0.72029703,FALSE,0,0,0.7
regex,0,1,2,1,1,1,0,1,2,FALSE,1,0,2,1,1,FALSE,0,0,0
perl,0,1,2,1,1,1,0,1,2,FALSE,1,0,2,1,1,FALSE,0,0,0
ruby-on-rails,0,0.213080169,4,2,2,4.693069307,1,8,4,FALSE,4,0,4,2,0.769183168,FALSE,0,0,0.666666667
ruby,0,0.213080169,4,2,2,4.693069307,1,8,4,FALSE,4,0,4,2,0.769183168,FALSE,0,0,0.666666667
powershell,0,0.181981982,2,1,1,5.495049505,0,9,2,FALSE,3,0,2,1,0.719059406,FALSE,0,0,0
testing,0,1,2,1,1,1,0,1,2,FALSE,1,0,2,1,1,FALSE,0,0,0
selenium,0,1,2,1,1,1,0,1,2,FALSE,1,0,2,1,1,FALSE,0,0,0
